metanode,identifier,entities_local_id,entities_global_id,entities_value,name,abbreviation
Anatomy,UBERON:0000474,Anatomy_23,23,Anatomy::UBERON:0000474,female reproductive system,A
Anatomy,UBERON:0000482,Anatomy_24,24,Anatomy::UBERON:0000482,basal lamina of epithelium,A
Anatomy,UBERON:0000483,Anatomy_25,25,Anatomy::UBERON:0000483,epithelium,A
Anatomy,UBERON:0000922,Anatomy_26,26,Anatomy::UBERON:0000922,embryo,A
Anatomy,UBERON:0000941,Anatomy_27,27,Anatomy::UBERON:0000941,cranial nerve II,A
Anatomy,UBERON:0000946,Anatomy_28,28,Anatomy::UBERON:0000946,cardial valve,A
Anatomy,UBERON:0000948,Anatomy_29,29,Anatomy::UBERON:0000948,heart,A
Anatomy,UBERON:0000949,Anatomy_30,30,Anatomy::UBERON:0000949,endocrine system,A
Anatomy,UBERON:0000955,Anatomy_31,31,Anatomy::UBERON:0000955,brain,A
Anatomy,UBERON:0000959,Anatomy_32,32,Anatomy::UBERON:0000959,optic chiasma,A
Anatomy,UBERON:0000964,Anatomy_33,33,Anatomy::UBERON:0000964,cornea,A
Anatomy,UBERON:0000966,Anatomy_34,34,Anatomy::UBERON:0000966,retina,A
Anatomy,UBERON:0000970,Anatomy_35,35,Anatomy::UBERON:0000970,eye,A
Anatomy,UBERON:0000974,Anatomy_36,36,Anatomy::UBERON:0000974,neck,A
Anatomy,UBERON:0000975,Anatomy_37,37,Anatomy::UBERON:0000975,sternum,A
Anatomy,UBERON:0000977,Anatomy_38,38,Anatomy::UBERON:0000977,pleura,A
Anatomy,UBERON:0000978,Anatomy_39,39,Anatomy::UBERON:0000978,leg,A
Anatomy,UBERON:0000982,Anatomy_40,40,Anatomy::UBERON:0000982,skeletal joint,A
Anatomy,UBERON:0000985,Anatomy_41,41,Anatomy::UBERON:0000985,axillary vein,A
Anatomy,UBERON:0000988,Anatomy_42,42,Anatomy::UBERON:0000988,pons,A
Anatomy,UBERON:0000989,Anatomy_43,43,Anatomy::UBERON:0000989,penis,A
Anatomy,UBERON:0000991,Anatomy_44,44,Anatomy::UBERON:0000991,gonad,A
Anatomy,UBERON:0000992,Anatomy_45,45,Anatomy::UBERON:0000992,female gonad,A
Anatomy,UBERON:0000993,Anatomy_46,46,Anatomy::UBERON:0000993,oviduct,A
Anatomy,UBERON:0000995,Anatomy_47,47,Anatomy::UBERON:0000995,uterus,A
Anatomy,UBERON:0000996,Anatomy_48,48,Anatomy::UBERON:0000996,vagina,A
Anatomy,UBERON:0000997,Anatomy_49,49,Anatomy::UBERON:0000997,mammalian vulva,A
Anatomy,UBERON:0000998,Anatomy_50,50,Anatomy::UBERON:0000998,seminal vesicle,A
Anatomy,UBERON:0000999,Anatomy_51,51,Anatomy::UBERON:0000999,ejaculatory duct,A
Anatomy,UBERON:0001000,Anatomy_52,52,Anatomy::UBERON:0001000,vas deferens,A
Anatomy,UBERON:0001003,Anatomy_53,53,Anatomy::UBERON:0001003,skin epidermis,A
Anatomy,UBERON:0001004,Anatomy_54,54,Anatomy::UBERON:0001004,respiratory system,A
Anatomy,UBERON:0001007,Anatomy_55,55,Anatomy::UBERON:0001007,digestive system,A
Anatomy,UBERON:0001008,Anatomy_56,56,Anatomy::UBERON:0001008,renal system,A
Anatomy,UBERON:0001011,Anatomy_57,57,Anatomy::UBERON:0001011,hemolymph,A
Anatomy,UBERON:0001013,Anatomy_58,58,Anatomy::UBERON:0001013,adipose tissue,A
Anatomy,UBERON:0001016,Anatomy_59,59,Anatomy::UBERON:0001016,nervous system,A
Anatomy,UBERON:0001017,Anatomy_60,60,Anatomy::UBERON:0001017,central nervous system,A
Anatomy,UBERON:0001021,Anatomy_61,61,Anatomy::UBERON:0001021,nerve,A
Anatomy,UBERON:0001031,Anatomy_62,62,Anatomy::UBERON:0001031,sheath of Schwann,A
Anatomy,UBERON:0001037,Anatomy_63,63,Anatomy::UBERON:0001037,strand of hair,A
Anatomy,UBERON:0001044,Anatomy_64,64,Anatomy::UBERON:0001044,saliva-secreting gland,A
Anatomy,UBERON:0001064,Anatomy_65,65,Anatomy::UBERON:0001064,ventral pancreatic duct,A
Anatomy,UBERON:0001067,Anatomy_66,66,Anatomy::UBERON:0001067,vertebral arch joint,A
Anatomy,UBERON:0001070,Anatomy_67,67,Anatomy::UBERON:0001070,external carotid artery,A
Anatomy,UBERON:0001072,Anatomy_68,68,Anatomy::UBERON:0001072,posterior vena cava,A
Anatomy,UBERON:0001088,Anatomy_69,69,Anatomy::UBERON:0001088,urine,A
Anatomy,UBERON:0001089,Anatomy_70,70,Anatomy::UBERON:0001089,sweat,A
Anatomy,UBERON:0001090,Anatomy_71,71,Anatomy::UBERON:0001090,synovial fluid,A
Anatomy,UBERON:0001093,Anatomy_72,72,Anatomy::UBERON:0001093,vertebral bone 2,A
Anatomy,UBERON:0001103,Anatomy_73,73,Anatomy::UBERON:0001103,diaphragm,A
Anatomy,UBERON:0001105,Anatomy_74,74,Anatomy::UBERON:0001105,clavicle bone,A
Anatomy,UBERON:0001111,Anatomy_75,75,Anatomy::UBERON:0001111,intercostal muscle,A
Anatomy,UBERON:0001130,Anatomy_76,76,Anatomy::UBERON:0001130,vertebral column,A
Anatomy,UBERON:0001132,Anatomy_77,77,Anatomy::UBERON:0001132,parathyroid gland,A
Anatomy,UBERON:0001135,Anatomy_78,78,Anatomy::UBERON:0001135,smooth muscle tissue,A
Anatomy,UBERON:0001140,Anatomy_79,79,Anatomy::UBERON:0001140,renal vein,A
Anatomy,UBERON:0001143,Anatomy_80,80,Anatomy::UBERON:0001143,hepatic vein,A
Anatomy,UBERON:0001148,Anatomy_81,81,Anatomy::UBERON:0001148,median nerve,A
Anatomy,UBERON:0001174,Anatomy_82,82,Anatomy::UBERON:0001174,common bile duct,A
Anatomy,UBERON:0001175,Anatomy_83,83,Anatomy::UBERON:0001175,common hepatic duct,A
Anatomy,UBERON:0001182,Anatomy_84,84,Anatomy::UBERON:0001182,superior mesenteric artery,A
Anatomy,UBERON:0001183,Anatomy_85,85,Anatomy::UBERON:0001183,inferior mesenteric artery,A
Anatomy,UBERON:0001184,Anatomy_86,86,Anatomy::UBERON:0001184,renal artery,A
Anatomy,UBERON:0001193,Anatomy_87,87,Anatomy::UBERON:0001193,hepatic artery,A
Anatomy,UBERON:0001194,Anatomy_88,88,Anatomy::UBERON:0001194,splenic artery,A
Anatomy,UBERON:0001224,Anatomy_89,89,Anatomy::UBERON:0001224,renal pelvis,A
Anatomy,UBERON:0001225,Anatomy_90,90,Anatomy::UBERON:0001225,cortex of kidney,A
Anatomy,UBERON:0001228,Anatomy_91,91,Anatomy::UBERON:0001228,renal papilla,A
Anatomy,UBERON:0001231,Anatomy_92,92,Anatomy::UBERON:0001231,nephron tubule,A
Anatomy,UBERON:0001232,Anatomy_93,93,Anatomy::UBERON:0001232,collecting duct of renal tubule,A
Anatomy,UBERON:0001235,Anatomy_94,94,Anatomy::UBERON:0001235,adrenal cortex,A
Anatomy,UBERON:0001236,Anatomy_95,95,Anatomy::UBERON:0001236,adrenal medulla,A
Anatomy,UBERON:0001237,Anatomy_96,96,Anatomy::UBERON:0001237,paraaortic body,A
Anatomy,UBERON:0001264,Anatomy_97,97,Anatomy::UBERON:0001264,pancreas,A
Anatomy,UBERON:0001267,Anatomy_98,98,Anatomy::UBERON:0001267,femoral nerve,A
Anatomy,UBERON:0001283,Anatomy_99,99,Anatomy::UBERON:0001283,bile canaliculus,A
Anatomy,UBERON:0001285,Anatomy_100,100,Anatomy::UBERON:0001285,nephron,A
Anatomy,UBERON:0001288,Anatomy_101,101,Anatomy::UBERON:0001288,loop of Henle,A
Anatomy,UBERON:0001295,Anatomy_102,102,Anatomy::UBERON:0001295,endometrium,A
Anatomy,UBERON:0001296,Anatomy_103,103,Anatomy::UBERON:0001296,myometrium,A
Anatomy,UBERON:0001300,Anatomy_104,104,Anatomy::UBERON:0001300,scrotum,A
Anatomy,UBERON:0001305,Anatomy_105,105,Anatomy::UBERON:0001305,ovarian follicle,A
Anatomy,UBERON:0001310,Anatomy_106,106,Anatomy::UBERON:0001310,umbilical artery,A
Anatomy,UBERON:0001322,Anatomy_107,107,Anatomy::UBERON:0001322,sciatic nerve,A
Anatomy,UBERON:0001323,Anatomy_108,108,Anatomy::UBERON:0001323,tibial nerve,A
Anatomy,UBERON:0001324,Anatomy_109,109,Anatomy::UBERON:0001324,common fibular nerve,A
Anatomy,UBERON:0001343,Anatomy_110,110,Anatomy::UBERON:0001343,seminiferous tubule of testis,A
Anatomy,UBERON:0001348,Anatomy_111,111,Anatomy::UBERON:0001348,brown adipose tissue,A
Anatomy,UBERON:0001352,Anatomy_112,112,Anatomy::UBERON:0001352,external acoustic meatus,A
Anatomy,UBERON:0001361,Anatomy_113,113,Anatomy::UBERON:0001361,femoral vein,A
Anatomy,UBERON:0001365,Anatomy_114,114,Anatomy::UBERON:0001365,sacro-iliac joint,A
Anatomy,UBERON:0001394,Anatomy_115,115,Anatomy::UBERON:0001394,axillary artery,A
Anatomy,UBERON:0001398,Anatomy_116,116,Anatomy::UBERON:0001398,brachial artery,A
Anatomy,UBERON:0001404,Anatomy_117,117,Anatomy::UBERON:0001404,radial artery,A
Anatomy,UBERON:0001406,Anatomy_118,118,Anatomy::UBERON:0001406,ulnar artery,A
Anatomy,UBERON:0001437,Anatomy_119,119,Anatomy::UBERON:0001437,epiphysis,A
Anatomy,UBERON:0001456,Anatomy_120,120,Anatomy::UBERON:0001456,face,A
Anatomy,UBERON:0001460,Anatomy_121,121,Anatomy::UBERON:0001460,arm,A
Anatomy,UBERON:0001461,Anatomy_122,122,Anatomy::UBERON:0001461,elbow,A
Anatomy,UBERON:0001463,Anatomy_123,123,Anatomy::UBERON:0001463,manual digit 1,A
Anatomy,UBERON:0001464,Anatomy_124,124,Anatomy::UBERON:0001464,hip,A
Anatomy,UBERON:0001465,Anatomy_125,125,Anatomy::UBERON:0001465,knee,A
Anatomy,UBERON:0001467,Anatomy_126,126,Anatomy::UBERON:0001467,shoulder,A
Anatomy,UBERON:0001469,Anatomy_127,127,Anatomy::UBERON:0001469,sternoclavicular joint,A
Anatomy,UBERON:0001470,Anatomy_128,128,Anatomy::UBERON:0001470,glenohumeral joint,A
Anatomy,UBERON:0001479,Anatomy_129,129,Anatomy::UBERON:0001479,sesamoid bone,A
Anatomy,UBERON:0001484,Anatomy_130,130,Anatomy::UBERON:0001484,articular capsule,A
Anatomy,UBERON:0001485,Anatomy_131,131,Anatomy::UBERON:0001485,knee joint,A
Anatomy,UBERON:0001486,Anatomy_132,132,Anatomy::UBERON:0001486,hip joint,A
Anatomy,UBERON:0001488,Anatomy_133,133,Anatomy::UBERON:0001488,ankle joint,A
Anatomy,UBERON:0001490,Anatomy_134,134,Anatomy::UBERON:0001490,elbow joint,A
Anatomy,UBERON:0001492,Anatomy_135,135,Anatomy::UBERON:0001492,radial nerve,A
Anatomy,UBERON:0001494,Anatomy_136,136,Anatomy::UBERON:0001494,ulnar nerve,A
Anatomy,UBERON:0001515,Anatomy_137,137,Anatomy::UBERON:0001515,thoracic aorta,A
Anatomy,UBERON:0001516,Anatomy_138,138,Anatomy::UBERON:0001516,abdominal aorta,A
Anatomy,UBERON:0001529,Anatomy_139,139,Anatomy::UBERON:0001529,brachiocephalic artery,A
Anatomy,UBERON:0001530,Anatomy_140,140,Anatomy::UBERON:0001530,common carotid artery plus branches,A
Anatomy,UBERON:0001532,Anatomy_141,141,Anatomy::UBERON:0001532,internal carotid artery,A
Anatomy,UBERON:0001533,Anatomy_142,142,Anatomy::UBERON:0001533,subclavian artery,A
Anatomy,UBERON:0001535,Anatomy_143,143,Anatomy::UBERON:0001535,vertebral artery,A
Anatomy,UBERON:0001544,Anatomy_144,144,Anatomy::UBERON:0001544,popliteal vein,A
Anatomy,UBERON:0001567,Anatomy_145,145,Anatomy::UBERON:0001567,cheek,A
Anatomy,UBERON:0001577,Anatomy_146,146,Anatomy::UBERON:0001577,facial muscle,A
Anatomy,UBERON:0001579,Anatomy_147,147,Anatomy::UBERON:0001579,olfactory nerve,A
Anatomy,UBERON:0001585,Anatomy_148,148,Anatomy::UBERON:0001585,anterior vena cava,A
Anatomy,UBERON:0001587,Anatomy_149,149,Anatomy::UBERON:0001587,subclavian vein,A
Anatomy,UBERON:0001594,Anatomy_150,150,Anatomy::UBERON:0001594,azygos vein,A
Anatomy,UBERON:0001597,Anatomy_151,151,Anatomy::UBERON:0001597,masseter muscle,A
Anatomy,UBERON:0001598,Anatomy_152,152,Anatomy::UBERON:0001598,temporalis muscle,A
Anatomy,UBERON:0001599,Anatomy_153,153,Anatomy::UBERON:0001599,stapedius muscle,A
Anatomy,UBERON:0001600,Anatomy_154,154,Anatomy::UBERON:0001600,tensor tympani,A
Anatomy,UBERON:0001616,Anatomy_155,155,Anatomy::UBERON:0001616,maxillary artery,A
Anatomy,UBERON:0001619,Anatomy_156,156,Anatomy::UBERON:0001619,ophthalmic artery,A
Anatomy,UBERON:0001620,Anatomy_157,157,Anatomy::UBERON:0001620,central retinal artery,A
Anatomy,UBERON:0001624,Anatomy_158,158,Anatomy::UBERON:0001624,anterior cerebral artery,A
Anatomy,UBERON:0001627,Anatomy_159,159,Anatomy::UBERON:0001627,middle cerebral artery,A
Anatomy,UBERON:0001633,Anatomy_160,160,Anatomy::UBERON:0001633,basilar artery,A
Anatomy,UBERON:0001636,Anatomy_161,161,Anatomy::UBERON:0001636,posterior cerebral artery,A
Anatomy,UBERON:0001637,Anatomy_162,162,Anatomy::UBERON:0001637,artery,A
Anatomy,UBERON:0001638,Anatomy_163,163,Anatomy::UBERON:0001638,vein,A
Anatomy,UBERON:0001640,Anatomy_164,164,Anatomy::UBERON:0001640,celiac artery,A
Anatomy,UBERON:0001643,Anatomy_165,165,Anatomy::UBERON:0001643,oculomotor nerve,A
Anatomy,UBERON:0001644,Anatomy_166,166,Anatomy::UBERON:0001644,trochlear nerve,A
Anatomy,UBERON:0001645,Anatomy_167,167,Anatomy::UBERON:0001645,trigeminal nerve,A
Anatomy,UBERON:0001646,Anatomy_168,168,Anatomy::UBERON:0001646,abducens nerve,A
Anatomy,UBERON:0001647,Anatomy_169,169,Anatomy::UBERON:0001647,facial nerve,A
Anatomy,UBERON:0001648,Anatomy_170,170,Anatomy::UBERON:0001648,vestibulocochlear nerve,A
Anatomy,UBERON:0001649,Anatomy_171,171,Anatomy::UBERON:0001649,glossopharyngeal nerve,A
Anatomy,UBERON:0001650,Anatomy_172,172,Anatomy::UBERON:0001650,hypoglossal nerve,A
Anatomy,UBERON:0001673,Anatomy_173,173,Anatomy::UBERON:0001673,central retinal vein,A
Anatomy,UBERON:0001675,Anatomy_174,174,Anatomy::UBERON:0001675,trigeminal ganglion,A
Anatomy,UBERON:0001676,Anatomy_175,175,Anatomy::UBERON:0001676,occipital bone,A
Anatomy,UBERON:0001677,Anatomy_176,176,Anatomy::UBERON:0001677,sphenoid bone,A
Anatomy,UBERON:0001678,Anatomy_177,177,Anatomy::UBERON:0001678,temporal bone,A
Anatomy,UBERON:0001679,Anatomy_178,178,Anatomy::UBERON:0001679,ethmoid bone,A
Anatomy,UBERON:0001681,Anatomy_179,179,Anatomy::UBERON:0001681,nasal bone,A
Anatomy,UBERON:0001684,Anatomy_180,180,Anatomy::UBERON:0001684,mandible,A
Anatomy,UBERON:0001685,Anatomy_181,181,Anatomy::UBERON:0001685,hyoid bone,A
Anatomy,UBERON:0001687,Anatomy_182,182,Anatomy::UBERON:0001687,stapes bone,A
Anatomy,UBERON:0001688,Anatomy_183,183,Anatomy::UBERON:0001688,incus bone,A
Anatomy,UBERON:0001689,Anatomy_184,184,Anatomy::UBERON:0001689,malleus bone,A
Anatomy,UBERON:0001690,Anatomy_185,185,Anatomy::UBERON:0001690,ear,A
Anatomy,UBERON:0001691,Anatomy_186,186,Anatomy::UBERON:0001691,external ear,A
Anatomy,UBERON:0001694,Anatomy_187,187,Anatomy::UBERON:0001694,petrous part of temporal bone,A
Anatomy,UBERON:0001697,Anatomy_188,188,Anatomy::UBERON:0001697,orbit of skull,A
Anatomy,UBERON:0001700,Anatomy_189,189,Anatomy::UBERON:0001700,geniculate ganglion,A
Anatomy,UBERON:0001702,Anatomy_190,190,Anatomy::UBERON:0001702,eyelash,A
Anatomy,UBERON:0001705,Anatomy_191,191,Anatomy::UBERON:0001705,nail,A
Anatomy,UBERON:0001707,Anatomy_192,192,Anatomy::UBERON:0001707,nasal cavity,A
Anatomy,UBERON:0001708,Anatomy_193,193,Anatomy::UBERON:0001708,jaw skeleton,A
Anatomy,UBERON:0001710,Anatomy_194,194,Anatomy::UBERON:0001710,lower jaw region,A
Anatomy,UBERON:0001711,Anatomy_195,195,Anatomy::UBERON:0001711,eyelid,A
Anatomy,UBERON:0001716,Anatomy_196,196,Anatomy::UBERON:0001716,secondary palate,A
Anatomy,UBERON:0001717,Anatomy_197,197,Anatomy::UBERON:0001717,spinal nucleus of trigeminal nerve,A
Anatomy,UBERON:0001720,Anatomy_198,198,Anatomy::UBERON:0001720,cochlear nucleus,A
Anatomy,UBERON:0001723,Anatomy_199,199,Anatomy::UBERON:0001723,tongue,A
Anatomy,UBERON:0001724,Anatomy_200,200,Anatomy::UBERON:0001724,sphenoidal sinus,A
Anatomy,UBERON:0001733,Anatomy_201,201,Anatomy::UBERON:0001733,soft palate,A
Anatomy,UBERON:0001734,Anatomy_202,202,Anatomy::UBERON:0001734,palatine uvula,A
Anatomy,UBERON:0001736,Anatomy_203,203,Anatomy::UBERON:0001736,submandibular gland,A
Anatomy,UBERON:0001737,Anatomy_204,204,Anatomy::UBERON:0001737,larynx,A
Anatomy,UBERON:0001744,Anatomy_205,205,Anatomy::UBERON:0001744,lymphoid tissue,A
Anatomy,UBERON:0001750,Anatomy_206,206,Anatomy::UBERON:0001750,lacrimal apparatus,A
Anatomy,UBERON:0001756,Anatomy_207,207,Anatomy::UBERON:0001756,middle ear,A
Anatomy,UBERON:0001759,Anatomy_208,208,Anatomy::UBERON:0001759,vagus nerve,A
Anatomy,UBERON:0001760,Anatomy_209,209,Anatomy::UBERON:0001760,frontal sinus,A
Anatomy,UBERON:0001762,Anatomy_210,210,Anatomy::UBERON:0001762,turbinate bone,A
Anatomy,UBERON:0001764,Anatomy_211,211,Anatomy::UBERON:0001764,maxillary sinus,A
Anatomy,UBERON:0001768,Anatomy_212,212,Anatomy::UBERON:0001768,uvea,A
Anatomy,UBERON:0001769,Anatomy_213,213,Anatomy::UBERON:0001769,iris,A
Anatomy,UBERON:0001771,Anatomy_214,214,Anatomy::UBERON:0001771,pupil,A
Anatomy,UBERON:0001772,Anatomy_215,215,Anatomy::UBERON:0001772,corneal epithelium,A
Anatomy,UBERON:0001773,Anatomy_216,216,Anatomy::UBERON:0001773,sclera,A
Anatomy,UBERON:0001775,Anatomy_217,217,Anatomy::UBERON:0001775,ciliary body,A
Anatomy,UBERON:0001776,Anatomy_218,218,Anatomy::UBERON:0001776,optic choroid,A
Anatomy,UBERON:0001777,Anatomy_219,219,Anatomy::UBERON:0001777,substantia propria of cornea,A
Anatomy,UBERON:0001780,Anatomy_220,220,Anatomy::UBERON:0001780,spinal nerve,A
Anatomy,UBERON:0001783,Anatomy_221,221,Anatomy::UBERON:0001783,optic disc,A
Anatomy,UBERON:0001785,Anatomy_222,222,Anatomy::UBERON:0001785,cranial nerve,A
Anatomy,UBERON:0001786,Anatomy_223,223,Anatomy::UBERON:0001786,fovea centralis,A
Anatomy,UBERON:0001796,Anatomy_224,224,Anatomy::UBERON:0001796,aqueous humor of eyeball,A
Anatomy,UBERON:0001805,Anatomy_225,225,Anatomy::UBERON:0001805,autonomic ganglion,A
Anatomy,UBERON:0001814,Anatomy_226,226,Anatomy::UBERON:0001814,brachial nerve plexus,A
Anatomy,UBERON:0001815,Anatomy_227,227,Anatomy::UBERON:0001815,lumbosacral nerve plexus,A
Anatomy,UBERON:0001818,Anatomy_228,228,Anatomy::UBERON:0001818,tarsal gland,A
Anatomy,UBERON:0001820,Anatomy_229,229,Anatomy::UBERON:0001820,sweat gland,A
Anatomy,UBERON:0001821,Anatomy_230,230,Anatomy::UBERON:0001821,sebaceous gland,A
Anatomy,UBERON:0001825,Anatomy_231,231,Anatomy::UBERON:0001825,paranasal sinus,A
Anatomy,UBERON:0001827,Anatomy_232,232,Anatomy::UBERON:0001827,secretion of lacrimal gland,A
Anatomy,UBERON:0001831,Anatomy_233,233,Anatomy::UBERON:0001831,parotid gland,A
Anatomy,UBERON:0001832,Anatomy_234,234,Anatomy::UBERON:0001832,sublingual gland,A
Anatomy,UBERON:0001833,Anatomy_235,235,Anatomy::UBERON:0001833,lip,A
Anatomy,UBERON:0001836,Anatomy_236,236,Anatomy::UBERON:0001836,saliva,A
Anatomy,UBERON:0001837,Anatomy_237,237,Anatomy::UBERON:0001837,duct of salivary gland,A
Anatomy,UBERON:0001840,Anatomy_238,238,Anatomy::UBERON:0001840,semicircular canal,A
Anatomy,UBERON:0001844,Anatomy_239,239,Anatomy::UBERON:0001844,cochlea,A
Anatomy,UBERON:0001846,Anatomy_240,240,Anatomy::UBERON:0001846,internal ear,A
Anatomy,UBERON:0001855,Anatomy_241,241,Anatomy::UBERON:0001855,cochlear duct of membranous labyrinth,A
Anatomy,UBERON:0001860,Anatomy_242,242,Anatomy::UBERON:0001860,endolymphatic duct,A
Anatomy,UBERON:0001866,Anatomy_243,243,Anatomy::UBERON:0001866,sebum,A
Anatomy,UBERON:0001884,Anatomy_244,244,Anatomy::UBERON:0001884,phrenic nerve,A
Anatomy,UBERON:0001886,Anatomy_245,245,Anatomy::UBERON:0001886,choroid plexus,A
Anatomy,UBERON:0001887,Anatomy_246,246,Anatomy::UBERON:0001887,internal capsule of telencephalon,A
Anatomy,UBERON:0001890,Anatomy_247,247,Anatomy::UBERON:0001890,forebrain,A
Anatomy,UBERON:0001891,Anatomy_248,248,Anatomy::UBERON:0001891,midbrain,A
Anatomy,UBERON:0001893,Anatomy_249,249,Anatomy::UBERON:0001893,telencephalon,A
Anatomy,UBERON:0001895,Anatomy_250,250,Anatomy::UBERON:0001895,metencephalon,A
Anatomy,UBERON:0001896,Anatomy_251,251,Anatomy::UBERON:0001896,medulla oblongata,A
Anatomy,UBERON:0001905,Anatomy_252,252,Anatomy::UBERON:0001905,pineal body,A
Anatomy,UBERON:0001908,Anatomy_253,253,Anatomy::UBERON:0001908,optic tract,A
Anatomy,UBERON:0001910,Anatomy_254,254,Anatomy::UBERON:0001910,medial forebrain bundle,A
Anatomy,UBERON:0001911,Anatomy_255,255,Anatomy::UBERON:0001911,mammary gland,A
Anatomy,UBERON:0001914,Anatomy_256,256,Anatomy::UBERON:0001914,colostrum,A
Anatomy,UBERON:0001968,Anatomy_257,257,Anatomy::UBERON:0001968,semen,A
Anatomy,UBERON:0001969,Anatomy_258,258,Anatomy::UBERON:0001969,blood plasma,A
Anatomy,UBERON:0001970,Anatomy_259,259,Anatomy::UBERON:0001970,bile,A
Anatomy,UBERON:0001971,Anatomy_260,260,Anatomy::UBERON:0001971,gastric juice,A
Anatomy,UBERON:0001980,Anatomy_261,261,Anatomy::UBERON:0001980,arteriole,A
Anatomy,UBERON:0001981,Anatomy_262,262,Anatomy::UBERON:0001981,blood vessel,A
Anatomy,UBERON:0001985,Anatomy_263,263,Anatomy::UBERON:0001985,corneal endothelium,A
Anatomy,UBERON:0001986,Anatomy_264,264,Anatomy::UBERON:0001986,endothelium,A
Anatomy,UBERON:0001988,Anatomy_265,265,Anatomy::UBERON:0001988,feces,A
Anatomy,UBERON:0001989,Anatomy_266,266,Anatomy::UBERON:0001989,superior cervical ganglion,A
Anatomy,UBERON:0002005,Anatomy_267,267,Anatomy::UBERON:0002005,enteric nervous system,A
Anatomy,UBERON:0002010,Anatomy_268,268,Anatomy::UBERON:0002010,celiac nerve plexus,A
Anatomy,UBERON:0002012,Anatomy_269,269,Anatomy::UBERON:0002012,pulmonary artery,A
Anatomy,UBERON:0002016,Anatomy_270,270,Anatomy::UBERON:0002016,pulmonary vein,A
Anatomy,UBERON:0002017,Anatomy_271,271,Anatomy::UBERON:0002017,portal vein,A
Anatomy,UBERON:0002018,Anatomy_272,272,Anatomy::UBERON:0002018,synovial membrane of synovial joint,A
Anatomy,UBERON:0002019,Anatomy_273,273,Anatomy::UBERON:0002019,accessory XI nerve,A
Anatomy,UBERON:0002028,Anatomy_274,274,Anatomy::UBERON:0002028,hindbrain,A
Anatomy,UBERON:0002030,Anatomy_275,275,Anatomy::UBERON:0002030,nipple,A
Anatomy,UBERON:0002037,Anatomy_276,276,Anatomy::UBERON:0002037,cerebellum,A
Anatomy,UBERON:0002040,Anatomy_277,277,Anatomy::UBERON:0002040,bronchial artery,A
Anatomy,UBERON:0002046,Anatomy_278,278,Anatomy::UBERON:0002046,thyroid gland,A
Anatomy,UBERON:0002048,Anatomy_279,279,Anatomy::UBERON:0002048,lung,A
Anatomy,UBERON:0002053,Anatomy_280,280,Anatomy::UBERON:0002053,zona glomerulosa of adrenal gland,A
Anatomy,UBERON:0002054,Anatomy_281,281,Anatomy::UBERON:0002054,zona fasciculata of adrenal gland,A
Anatomy,UBERON:0002055,Anatomy_282,282,Anatomy::UBERON:0002055,zona reticularis of adrenal gland,A
Anatomy,UBERON:0002060,Anatomy_283,283,Anatomy::UBERON:0002060,femoral artery,A
Anatomy,UBERON:0002066,Anatomy_284,284,Anatomy::UBERON:0002066,umbilical vein,A
