source,metaedge,target,source_global_id,target_global_id,metaedge_global_id,source_local_id,source_metanode,target_local_id,target_metanode,source_identifier,source_name,source_abbreviation,target_identifier,target_name,target_abbreviation
Compound::DB00916,CmC,Compound::DB01060,13942,14078,24,Compound_770,Compound,Compound_906,Compound,DB00916,Metronidazole,C,DB01060,Amoxicillin,C
Compound::DB00182,CmC,Compound::DB01576,13241,14395,24,Compound_69,Compound,Compound_1223,Compound,DB00182,Amphetamine,C,DB01576,Dextroamphetamine,C
Compound::DB00531,CmC,Compound::DB00688,13570,13722,24,Compound_398,Compound,Compound_550,Compound,DB00531,Cyclophosphamide,C,DB00688,Mycophenolate mofetil,C
Compound::DB00887,CmC,Compound::DB05266,13915,14503,24,Compound_743,Compound,Compound_1331,Compound,DB00887,Bumetanide,C,DB05266,Ibudilast,C
Compound::DB00176,CmC,Compound::DB00390,13235,13439,24,Compound_63,Compound,Compound_267,Compound,DB00176,Fluvoxamine,C,DB00390,Digoxin,C
Compound::DB00722,CmC,Compound::DB00585,13755,13620,24,Compound_583,Compound,Compound_448,Compound,DB00722,Lisinopril,C,DB00585,Nizatidine,C
Compound::DB00502,CmC,Compound::DB00186,13545,13245,24,Compound_373,Compound,Compound_73,Compound,DB00502,Haloperidol,C,DB00186,Lorazepam,C
Compound::DB00908,CmC,Compound::DB00480,13934,13523,24,Compound_762,Compound,Compound_351,Compound,DB00908,Quinidine,C,DB00480,Lenalidomide,C
Compound::DB01016,CmC,Compound::DB00331,14038,13385,24,Compound_866,Compound,Compound_213,Compound,DB01016,Glyburide,C,DB00331,Metformin,C
Compound::DB01030,CmC,Compound::DB06589,14051,14542,24,Compound_879,Compound,Compound_1370,Compound,DB01030,Topotecan,C,DB06589,Pazopanib,C
Compound::DB00448,CmC,Compound::DB00497,13493,13540,24,Compound_321,Compound,Compound_368,Compound,DB00448,Lansoprazole,C,DB00497,Oxycodone,C
Compound::DB00201,CmC,Compound::DB00455,13259,13500,24,Compound_87,Compound,Compound_328,Compound,DB00201,Caffeine,C,DB00455,Loratadine,C
Compound::DB00781,CmC,Compound::DB00440,13813,13486,24,Compound_641,Compound,Compound_314,Compound,DB00781,Polymyxin B Sulfate,C,DB00440,Trimethoprim,C
Compound::DB00295,CmC,Compound::DB00683,13351,13717,24,Compound_179,Compound,Compound_545,Compound,DB00295,Morphine,C,DB00683,Midazolam,C
Compound::DB01117,CmC,Compound::DB01131,14133,14147,24,Compound_961,Compound,Compound_975,Compound,DB01117,Atovaquone,C,DB01131,Proguanil,C
Compound::DB00945,CmC,Compound::DB01132,13969,14148,24,Compound_797,Compound,Compound_976,Compound,DB00945,Acetylsalicylic acid,C,DB01132,Pioglitazone,C
Compound::DB00316,CmC,Compound::DB00807,13371,13838,24,Compound_199,Compound,Compound_666,Compound,DB00316,Acetaminophen,C,DB00807,Proparacaine,C
Compound::DB00227,CmC,Compound::DB00682,13285,13716,24,Compound_113,Compound,Compound_544,Compound,DB00227,Lovastatin,C,DB00682,Warfarin,C
Compound::DB00243,CmC,Compound::DB00331,13300,13385,24,Compound_128,Compound,Compound_213,Compound,DB00243,Ranolazine,C,DB00331,Metformin,C
Compound::DB01141,CmC,Compound::DB01222,14156,14234,24,Compound_984,Compound,Compound_1062,Compound,DB01141,Micafungin,C,DB01222,Budesonide,C
Compound::DB00537,CmC,Compound::DB00591,13574,13626,24,Compound_402,Compound,Compound_454,Compound,DB00537,Ciprofloxacin,C,DB00591,Fluocinolone Acetonide,C
Compound::DB00811,CmC,Compound::DB08873,13842,14643,24,Compound_670,Compound,Compound_1471,Compound,DB00811,Ribavirin,C,DB08873,Boceprevir,C
Compound::DB00179,CmC,Compound::DB00530,13238,13569,24,Compound_66,Compound,Compound_397,Compound,DB00179,Masoprocol,C,DB00530,Erlotinib,C
Compound::DB00642,CmC,Compound::DB02546,13676,14448,24,Compound_504,Compound,Compound_1276,Compound,DB00642,Pemetrexed,C,DB02546,Vorinostat,C
Compound::DB01033,CmC,Compound::DB00352,14054,13405,24,Compound_882,Compound,Compound_233,Compound,DB01033,Mercaptopurine,C,DB00352,Tioguanine,C
Compound::DB00193,CmC,Compound::DB06623,13252,14548,24,Compound_80,Compound,Compound_1376,Compound,DB00193,Tramadol,C,DB06623,Flupirtine,C
Compound::DB00484,CmC,Compound::DB00878,13527,13907,24,Compound_355,Compound,Compound_735,Compound,DB00484,Brimonidine,C,DB00878,Chlorhexidine,C
Compound::DB02546,CmC,Compound::DB00853,14448,13882,24,Compound_1276,Compound,Compound_710,Compound,DB02546,Vorinostat,C,DB00853,Temozolomide,C
Compound::DB00625,CmC,Compound::DB00582,13660,13617,24,Compound_488,Compound,Compound_445,Compound,DB00625,Efavirenz,C,DB00582,Voriconazole,C
Compound::DB00499,CmC,Compound::DB08899,13542,14655,24,Compound_370,Compound,Compound_1483,Compound,DB00499,Flutamide,C,DB08899,Enzalutamide,C
Compound::DB00515,CmC,Compound::DB00773,13555,13805,24,Compound_383,Compound,Compound_633,Compound,DB00515,Cisplatin,C,DB00773,Etoposide,C
Compound::DB02703,CmC,Compound::DB00443,14450,13489,24,Compound_1278,Compound,Compound_317,Compound,DB02703,Fusidic Acid,C,DB00443,Betamethasone,C
Compound::DB00684,CmC,Compound::DB00438,13718,13485,24,Compound_546,Compound,Compound_313,Compound,DB00684,Tobramycin,C,DB00438,Ceftazidime,C
Compound::DB00741,CmC,Compound::DB01011,13774,14033,24,Compound_602,Compound,Compound_861,Compound,DB00741,Hydrocortisone,C,DB01011,Metyrapone,C
Compound::DB01095,CmC,Compound::DB05812,14112,14509,24,Compound_940,Compound,Compound_1337,Compound,DB01095,Fluvastatin,C,DB05812,Abiraterone,C
Compound::DB01248,CmC,Compound::DB00762,14259,13795,24,Compound_1087,Compound,Compound_623,Compound,DB01248,Docetaxel,C,DB00762,Irinotecan,C
Compound::DB00252,CmC,Compound::DB01320,13309,14295,24,Compound_137,Compound,Compound_1123,Compound,DB00252,Phenytoin,C,DB01320,Fosphenytoin,C
Compound::DB00254,CmC,Compound::DB00421,13311,13468,24,Compound_139,Compound,Compound_296,Compound,DB00254,Doxycycline,C,DB00421,Spironolactone,C
Compound::DB01166,CmC,Compound::DB08816,14179,14624,24,Compound_1007,Compound,Compound_1452,Compound,DB01166,Cilostazol,C,DB08816,Ticagrelor,C
Compound::DB00507,CmC,Compound::DB01211,13548,14223,24,Compound_376,Compound,Compound_1051,Compound,DB00507,Nitazoxanide,C,DB01211,Clarithromycin,C
Compound::DB00271,CmC,Compound::DB00271,13327,13327,24,Compound_155,Compound,Compound_155,Compound,DB00271,Diatrizoate,C,DB00271,Diatrizoate,C
Compound::DB00959,CmC,Compound::DB00296,13983,13352,24,Compound_811,Compound,Compound_180,Compound,DB00959,Methylprednisolone,C,DB00296,Ropivacaine,C
Compound::DB00864,CmC,Compound::DB00328,13893,13383,24,Compound_721,Compound,Compound_211,Compound,DB00864,Tacrolimus,C,DB00328,Indomethacin,C
Compound::DB00927,CmC,Compound::DB00448,13952,13493,24,Compound_780,Compound,Compound_321,Compound,DB00927,Famotidine,C,DB00448,Lansoprazole,C
Compound::DB00193,CmC,Compound::DB01002,13252,14024,24,Compound_80,Compound,Compound_852,Compound,DB00193,Tramadol,C,DB01002,Levobupivacaine,C
Compound::DB06817,CmC,Compound::DB01072,14603,14090,24,Compound_1431,Compound,Compound_918,Compound,DB06817,Raltegravir,C,DB01072,Atazanavir,C
Compound::DB00996,CmC,Compound::DB00426,14018,13473,24,Compound_846,Compound,Compound_301,Compound,DB00996,Gabapentin,C,DB00426,Famciclovir,C
Compound::DB00835,CmC,Compound::DB00852,13866,13881,24,Compound_694,Compound,Compound_709,Compound,DB00835,Brompheniramine,C,DB00852,Pseudoephedrine,C
Compound::DB01408,CmC,Compound::DB01656,14351,14444,24,Compound_1179,Compound,Compound_1272,Compound,DB01408,Bambuterol,C,DB01656,Roflumilast,C
Compound::DB01050,CmC,Compound::DB00899,14069,13926,24,Compound_897,Compound,Compound_754,Compound,DB01050,Ibuprofen,C,DB00899,Remifentanil,C
Compound::DB00882,CmC,Compound::DB00203,13911,13261,24,Compound_739,Compound,Compound_89,Compound,DB00882,Clomifene,C,DB00203,Sildenafil,C
Compound::DB05294,CmC,Compound::DB00877,14505,13906,24,Compound_1333,Compound,Compound_734,Compound,DB05294,Vandetanib,C,DB00877,Sirolimus,C
Compound::DB01606,CmC,Compound::DB01333,14422,14306,24,Compound_1250,Compound,Compound_1134,Compound,DB01606,Tazobactam,C,DB01333,Cefradine,C
Compound::DB00367,CmC,Compound::DB00302,13419,13358,24,Compound_247,Compound,Compound_186,Compound,DB00367,Levonorgestrel,C,DB00302,Tranexamic Acid,C
Compound::DB00715,CmC,Compound::DB04948,13748,14493,24,Compound_576,Compound,Compound_1321,Compound,DB00715,Paroxetine,C,DB04948,Lofexidine,C
Compound::DB01022,CmC,Compound::DB00946,14044,13970,24,Compound_872,Compound,Compound_798,Compound,DB01022,Phylloquinone,C,DB00946,Phenprocoumon,C
Compound::DB00472,CmC,Compound::DB00402,13515,13451,24,Compound_343,Compound,Compound_279,Compound,DB00472,Fluoxetine,C,DB00402,Eszopiclone,C
Compound::DB00572,CmC,Compound::DB00571,13609,13608,24,Compound_437,Compound,Compound_436,Compound,DB00572,Atropine,C,DB00571,Propranolol,C
Compound::DB00515,CmC,Compound::DB00317,13555,13372,24,Compound_383,Compound,Compound_200,Compound,DB00515,Cisplatin,C,DB00317,Gefitinib,C
Compound::DB00264,CmC,Compound::DB00722,13321,13755,24,Compound_149,Compound,Compound_583,Compound,DB00264,Metoprolol,C,DB00722,Lisinopril,C
Compound::DB00784,CmC,Compound::DB00316,13816,13371,24,Compound_644,Compound,Compound_199,Compound,DB00784,Mefenamic acid,C,DB00316,Acetaminophen,C
Compound::DB01233,CmC,Compound::DB00959,14244,13983,24,Compound_1072,Compound,Compound_811,Compound,DB01233,Metoclopramide,C,DB00959,Methylprednisolone,C
Compound::DB00598,CmC,Compound::DB00335,13633,13389,24,Compound_461,Compound,Compound_217,Compound,DB00598,Labetalol,C,DB00335,Atenolol,C
Compound::DB00317,CmC,Compound::DB01169,13372,14182,24,Compound_200,Compound,Compound_1010,Compound,DB00317,Gefitinib,C,DB01169,Arsenic trioxide,C
Compound::DB00900,CmC,Compound::DB01048,13927,14067,24,Compound_755,Compound,Compound_895,Compound,DB00900,Didanosine,C,DB01048,Abacavir,C
Compound::DB00758,CmC,Compound::DB00448,13791,13493,24,Compound_619,Compound,Compound_321,Compound,DB00758,Clopidogrel,C,DB00448,Lansoprazole,C
Compound::DB00328,CmC,Compound::DB00302,13383,13358,24,Compound_211,Compound,Compound_186,Compound,DB00328,Indomethacin,C,DB00302,Tranexamic Acid,C
Compound::DB00213,CmC,Compound::DB00213,13271,13271,24,Compound_99,Compound,Compound_99,Compound,DB00213,Pantoprazole,C,DB00213,Pantoprazole,C
Compound::DB00887,CmC,Compound::DB00313,13915,13368,24,Compound_743,Compound,Compound_196,Compound,DB00887,Bumetanide,C,DB00313,Valproic Acid,C
Compound::DB00296,CmC,Compound::DB00575,13352,13611,24,Compound_180,Compound,Compound_439,Compound,DB00296,Ropivacaine,C,DB00575,Clonidine,C
Compound::DB01181,CmC,Compound::DB00997,14194,14019,24,Compound_1022,Compound,Compound_847,Compound,DB01181,Ifosfamide,C,DB00997,Doxorubicin,C
Compound::DB00163,CmC,Compound::DB00166,13223,13225,24,Compound_51,Compound,Compound_53,Compound,DB00163,Vitamin E,C,DB00166,Lipoic Acid,C
Compound::DB00704,CmC,Compound::DB01192,13737,14204,24,Compound_565,Compound,Compound_1032,Compound,DB00704,Naltrexone,C,DB01192,Oxymorphone,C
