	input	true_label	pred_label	pred_score
31	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|HS3ST6|GpPW|HS-GAG biosynthesis	0	0	0.058878407
32	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|NDST4|GcG|HIST2H2AB	0	0	0.045928393
33	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST8|GcG|PIK3R6	0	0	0.0169726
34	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Cyclophosphamide	0	0	0.014688443
35	Abiraterone|CbG|ABCC1|GpMF|active transmembrane transporter activity|rev_GpMF|SLC12A5|rev_CbG|Bumetanide	0	0	0.006729571
36	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP11B2|rev_CbG|Eplerenone	0	0	0.0052705007
37	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|HS3ST3A1|GcG|GLB1L2	0	0	0.004374919
38	Abiraterone|CbG|ALB|GpMF|oxygen binding|rev_GpMF|CYP26A1|rev_CbG|Acitretin	0	0	0.0012820996
39	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Desipramine	0	0	0.0011432519
40	Abiraterone|CbG|ABCC1|GpMF|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|rev_GpMF|ATP7B|rev_CbG|Carboplatin	0	0	0.0010775517
41	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Diclofenac	0	0	0.00084768527
42	Abiraterone|CbG|CYP3A4|GpMF|vitamin D 24-hydroxylase activity|rev_GpMF|CYP24A1|rev_CbG|Paricalcitol	0	0	0.0006346064
43	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|SULT1A3|rev_GiG|SMN1	0	0	0.00038913114
44	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Phenytoin	0	0	0.0003004376
45	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST9|rev_GiG|LHCGR	0	0	0.00022503817
46	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP11B2|rev_CbG|Metoclopramide	0	0	0.0001906762
47	Abiraterone|CbG|CYP3A4|GpMF|vitamin D 25-hydroxylase activity|rev_GpMF|CYP2R1|rev_CbG|Ergocalciferol	0	0	8.002395e-05
48	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|CSAD|rev_CbG|L-Cysteine	0	0	5.699845e-05
49	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST4|rev_GiG|CD34	0	0	4.2697684e-05
50	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP4A11|rev_CbG|Cisplatin	0	0	4.0938907e-05
51	Abiraterone|CbG|ORM1|rev_GiG|BLVRB|rev_CbG|Riboflavin|CbG|SLC22A6	0	0	3.327126e-05
52	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|SULT1A3|rev_GiG|SMN2	0	0	2.0445143e-05
53	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|HS3ST6|GpMF|heparan sulfate sulfotransferase activity	0	0	2.0043473e-05
54	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST13|GcG|RASAL3	0	0	1.7755492e-05
55	Abiraterone|CbG|ABCC1|GpMF|pyrophosphatase activity|rev_GpMF|DNAI1|rev_AeG|semen	0	0	1.6148526e-05
56	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|HS6ST1|GcG|MON1B	0	0	1.2202471e-05
57	Abiraterone|CbG|ORM1|rev_GiG|BLVRB|rev_CbG|Riboflavin|CbG|MTHFR	0	0	7.746062e-06
58	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Vilazodone	0	0	6.391379e-06
59	Abiraterone|CbG|ABCC1|GpMF|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|rev_GpMF|ATP6V1A|rev_CbG|Etidronic acid	0	0	6.304922e-06
60	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2A13|rev_CbG|Testosterone	0	0	4.586456e-06
61	Abiraterone|CbG|CYP2C8|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP4A11|rev_CbG|Ethanol	0	0	4.540217e-06
62	Abiraterone|CbG|ORM1|rev_GiG|BLVRB|rev_CbG|Riboflavin|CbG|MAOA	0	0	3.3763786e-06
63	Abiraterone|CbG|ORM1|rev_GiG|BLVRB|rev_CbG|Riboflavin|CbG|RFK	0	0	2.6891455e-06
64	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|TPST2|GcG|PITX3	0	0	2.345034e-06
65	Abiraterone|CbG|SULT2A1|GpMF|transferase activity, transferring sulfur-containing groups|rev_GpMF|TPST2|GcG|ZIC2	0	0	2.2175718e-06
66	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST11|rev_CdG|Dabrafenib	0	0	1.7311437e-06
67	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Dapsone	0	0	1.5970083e-06
68	Abiraterone|CbG|CYP2D6|GpMF|steroid hydroxylase activity|rev_GpMF|CYP17A1|rev_CbG|Miconazole	0	0	1.4959118e-06
69	Abiraterone|CbG|CYP2C8|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2A13|rev_CbG|Nicotine	0	0	1.3817611e-06
70	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|NDST1|GcG|ARHGAP33	0	0	1.321749e-06
71	Abiraterone|CbG|ORM1|rev_GiG|BLVRB|rev_CbG|Riboflavin|CbG|BLVRB	0	0	1.1693487e-06
72	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|GAL3ST3|rev_GcG|NEUROG1	0	0	1.1388823e-06
73	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST5|GpPW|Keratan sulfate/keratin metabolism	0	0	1.0645164e-06
74	Abiraterone|CbG|CYP3A4|GpMF|vitamin D 24-hydroxylase activity|rev_GpMF|CYP24A1|rev_CbG|Calcitriol	0	0	1.0005502e-06
75	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|SDS|rev_CbG|L-Serine	0	0	9.54069e-07
76	Abiraterone|CbG|SULT2A1|GpMF|transferase activity, transferring sulfur-containing groups|rev_GpMF|OXCT2|rev_CbG|Succinic acid	0	0	9.3750475e-07
77	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|GOT2|rev_CbG|L-Aspartic Acid	0	0	8.207979e-07
78	Abiraterone|CbG|ABCC1|GpMF|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|rev_GpMF|ATP6V1B2|rev_CbG|Gallium nitrate	0	0	8.172362e-07
79	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|SULT1C3|GpPW|Sulfation Biotransformation Reaction	0	0	8.000624e-07
80	Abiraterone|CbG|ABCC1|GpMF|primary active transmembrane transporter activity|rev_GpMF|ATP1B3|rev_CbG|Acetyldigitoxin	0	0	7.826098e-07
81	Abiraterone|CbG|ORM1|rev_GiG|GLUD1|rev_CbG|Hexachlorophene|CbG|GLUD1	0	0	7.39757e-07
82	Abiraterone|CbG|ALB|GpMF|oxygen binding|rev_GpMF|CYP26A1|rev_CbG|Vitamin A	0	0	7.2622754e-07
83	Abiraterone|CbG|ABCC1|GpMF|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|rev_GpMF|ATP1B3|rev_CbG|Deslanoside	0	0	5.9703456e-07
84	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Propofol	0	0	5.542305e-07
85	Abiraterone|CbG|ABCC1|GpMF|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|rev_GpMF|ABCA5|rev_CbG|Tacrolimus	0	0	5.487602e-07
86	Abiraterone|CbG|SULT2A1|GpMF|sulfotransferase activity|rev_GpMF|CHST12|rev_CuG|Vorinostat	0	0	5.399748e-07
87	Abiraterone|CbG|CYP3A4|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2J2|rev_CbG|Astemizole	0	0	5.103329e-07
88	Abiraterone|CbG|ALB|GpMF|oxygen binding|rev_GpMF|CYP2C18|rev_CbG|Tretinoin	0	0	5.101903e-07
89	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP11B2|rev_CbG|Etomidate	0	0	4.9259796e-07
90	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|NFS1|rev_CbG|L-Alanine	0	0	4.6781187e-07
91	Abiraterone|CbG|ORM1|rev_GiG|GLUD1|rev_CbG|Hexachlorophene|CbG|ESR2	0	0	4.4239232e-07
92	Abiraterone|CbG|ALB|GpMF|toxic substance binding|rev_GpMF|ASS1|rev_CbG|Adenosine triphosphate	0	0	3.9962322e-07
93	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP4A11|rev_CbG|Estrone	0	0	3.986868e-07
94	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Clotiazepam	0	0	3.7129496e-07
95	Abiraterone|CbG|CYP3A4|GpMF|vitamin D 24-hydroxylase activity|rev_GpMF|CYP1A1|rev_CbG|Nitroprusside	0	0	3.6893394e-07
96	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2J2|rev_CbG|Masoprocol	0	0	3.576407e-07
97	Abiraterone|CbG|CYP17A1|GpMF|carbon-carbon lyase activity|rev_GpMF|ODC1|rev_CbG|Spermine	0	0	3.229859e-07
98	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|PROSC|rev_CbG|L-Proline	0	0	3.116876e-07
99	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|THNSL1|rev_CbG|L-Threonine	0	0	3.105811e-07
100	Abiraterone|CbG|ORM1|rev_GiG|GLUD1|rev_CbG|Hexachlorophene|CbG|SDHD	0	0	3.004502e-07
101	Abiraterone|CbG|ABCC1|GpMF|hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances|rev_GpMF|ABCB8|rev_CbG|Doxorubicin	0	0	2.9570646e-07
102	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Perphenazine	0	0	2.9040018e-07
103	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|TAT|rev_CbG|L-Tyrosine	0	0	2.8260916e-07
104	Abiraterone|CbG|ALB|GpMF|toxic substance binding|rev_GpMF|GUCY2C|rev_CbG|Linaclotide	0	0	2.803775e-07
105	Abiraterone|CbG|ALB|GpMF|pyridoxal phosphate binding|rev_GpMF|PDXK|rev_CbG|Pyridoxal	0	0	2.7372775e-07
106	Abiraterone|CbG|CYP17A1|GpMF|steroid hydroxylase activity|rev_GpMF|CYP2C18|rev_CbG|Clobazam	0	0	2.6287435e-07
107	Abiraterone|CbG|CYP2C8|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2A13|rev_CbG|Methoxsalen	0	0	2.5646185e-07
108	Abiraterone|CbG|ABCC1|GpMF|primary active transmembrane transporter activity|rev_GpMF|ATP6V1A|rev_CbG|Tiludronate	0	0	2.430905e-07
109	Abiraterone|CbG|CYP2C8|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2J2|rev_CbG|Levomilnacipran	0	0	2.4272705e-07
110	Abiraterone|CbG|CYP2D6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2C18|rev_CbG|Aminophenazone	0	0	2.2889463e-07
0	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Miglitol|CbG|AMY2A	0	1	0.99999964
1	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Captopril	0	1	0.9999994
2	Acarbose|CrC|Amikacin|rev_PCiC|Aminoglycosides|PCiC|Streptomycin|CbG|SLC22A6	0	1	0.9999989
3	Acarbose|CbG|SI|GpMF|alpha-1,4-glucosidase activity|rev_GpMF|SI|rev_CbG|Scopolamine	0	1	0.9999988
4	Acarbose|CrC|Lactulose|rev_PCiC|Acidifying Activity|PCiC|Lactulose|rev_PCiC|Acidifying Activity	0	1	0.9999987
5	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Trandolapril	0	1	0.9999987
6	Acarbose|CbG|GAA|GpMF|alpha-1,4-glucosidase activity|rev_GpMF|GAA|rev_CdG|Clopidogrel	0	1	0.99999857
7	Acarbose|CbG|AMY1B|GpMF|amylase activity|rev_GpMF|AMY1B|rev_AeG|pancreas	0	1	0.9999976
8	Acarbose|CrC|Lactulose|rev_PCiC|Osmotic Activity|PCiC|Mannitol|CbG|ABCB1	0	1	0.9999974
9	Acarbose|CbG|SI|GpMF|alpha-1,4-glucosidase activity|rev_GpMF|GAA|rev_CdG|Benzylpenicillin	0	1	0.9999733
10	Acarbose|CbG|MGAM|GpMF|alpha-1,4-glucosidase activity|rev_GpMF|GAA|rev_CdG|Fluocinolone Acetonide	0	1	0.99996996
11	Acarbose|CrC|Lactulose|rev_PCiC|Acidifying Activity|PCiC|Lactulose|rev_PCiC|Osmotic Activity	0	1	0.9999672
12	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|AMY1B	0	1	0.999956
13	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Lisinopril	0	1	0.99985063
14	Acarbose|CbG|AMY1A|GpMF|amylase activity|rev_GpMF|AMY1A|rev_AuG|female gonad	0	1	0.9997577
15	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|SI|GpMF|alpha-1,4-glucosidase activity	0	1	0.99968755
16	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|MGAM|GpMF|maltose alpha-glucosidase activity	0	1	0.9992131
17	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|AMY2A|GpMF|alpha-amylase activity	0	1	0.9977075
18	Acarbose|CbG|AMY2A|GpMF|amylase activity|rev_GpMF|AMY1A|rev_AeG|sympathetic nervous system	0	1	0.99584585
19	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|AMY2A|GpMF|amylase activity	0	1	0.9923679
20	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|AMY1C	0	1	0.9649433
21	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Enalapril	0	1	0.95946246
22	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Cilazapril	0	1	0.93226916
23	Acarbose|CrC|Lactulose|rev_PCiC|Acidifying Activity|PCiC|Lactulose|rev_PCiC|Stimulation Large Intestine Fluid/Electrolyte Secretion	0	1	0.91945076
24	Acarbose|CbG|AMY2A|GpMF|alpha-amylase activity|rev_GpMF|AMY2B|rev_GcG|LAD1	0	1	0.9179954
25	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|GAA	0	1	0.89587426
26	Acarbose|CbG|AMY2A|GpMF|amylase activity|rev_GpMF|AMY1A|rev_AeG|mouth	0	1	0.85776186
27	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Benazepril	0	1	0.8537185
28	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors	0	1	0.74171203
29	Acarbose|CbG|AMY2A|GpMF|amylase activity|rev_GpMF|AMY2A|rev_CbG|Miglitol	0	1	0.50843847
30	Acarbose|CrC|Amikacin|rev_PCiC|Aminoglycosides|PCiC|Netilmicin|rev_PCiC|Aminoglycosides	0	0	0.49587488
31	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Miglitol|CbG|GANAB|GpMF|glucosidase activity	0	0	0.44891563
32	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Miglitol|CbG|GANAB|GpMF|alpha-glucosidase activity	0	0	0.27994958
33	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Fosinopril	0	0	0.20291281
34	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Ramipril	0	0	0.19770154
35	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Moexipril	0	0	0.15803945
36	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Quinapril	0	0	0.1268397
37	Acarbose|CbG|AMY1B|GpMF|amylase activity|rev_GpMF|AMY1A|GpPW|Digestion of dietary carbohydrate	0	0	0.11544072
38	Acarbose|CbG|MGAM|GpMF|alpha-1,4-glucosidase activity|rev_GpMF|GAA|rev_CdG|Amodiaquine	0	0	0.0856064
39	Acarbose|CbG|AMY1B|GpMF|amylase activity|rev_GpMF|AMY1A|rev_AeG|autonomic nervous system	0	0	0.056178752
40	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|AMY1A	0	0	0.012064857
41	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|SI	0	0	0.010978645
42	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|AMY2A|GpMF|chloride ion binding	0	0	0.010832137
43	Acarbose|CcSE|Pneumatosis	0	0	0.0033821112
44	Acarbose|CbG|AMY1B|GpMF|amylase activity|rev_GpMF|AMY1A|rev_AeG|neck	0	0	0.002667018
45	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Perindopril	0	0	0.0025304875
46	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Spirapril	0	0	0.0016726274
47	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Miglitol|CbG|GANC	0	0	0.00033535078
48	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Acarbose|CbG|MGAM	0	0	0.00019796341
49	Acarbose|CbG|AMY1C|GpMF|amylase activity|rev_GpMF|AMY1B|GiG|MUC7	0	0	1.4823912e-05
50	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|SLC22A6|rev_CbG|Cefradine	0	0	1.5863343e-06
51	Acarbose|CbG|AMY1B|GpMF|alpha-amylase activity|rev_GpMF|AMY1B|rev_AeG|ear	0	0	1.5349846e-06
52	Acarbose|rev_PCiC|alpha Glucosidase Inhibitors|PCiC|Miglitol|CbG|GANAB	0	0	7.919784e-07
53	Acarbose|CbG|AMY2A|GpMF|chloride ion binding|rev_GpMF|ACE|rev_CbG|Candoxatril	0	0	6.870842e-07
54	Acarbose|CbG|AMY1A|GpMF|amylase activity|rev_GpMF|AMY1C|rev_AeG|exocrine gland	0	0	4.1877513e-07
55	Acarbose|CbG|MGAM|GpMF|glucosidase activity|rev_GpMF|GBA2|rev_CbG|Miglustat	0	0	3.047666e-07
0	Acetaminophen|CbG|ABCB1|GpMF|xenobiotic transporter activity|rev_GpMF|ABCG2|rev_CbG|Pantoprazole	0	1	0.99999976
1	Acetaminophen|CbG|ABCB1|GpMF|xenobiotic transporter activity|rev_GpMF|ABCB1|rev_CbG|Diazepam	0	1	0.99999976
2	Acetaminophen|CbG|PTGS1|GpMF|prostaglandin-endoperoxide synthase activity|rev_GpMF|PTGS1|rev_CbG|Mefenamic acid	0	1	0.99999964
3	Acetaminophen|CbG|PTGS2|GpMF|prostaglandin-endoperoxide synthase activity|rev_GpMF|PTGS1|rev_CbG|Piroxicam	0	1	0.99999964
4	Acetaminophen|CbG|PTGS1|GpMF|prostaglandin-endoperoxide synthase activity|rev_GpMF|PTGS1|rev_CbG|Irbesartan	0	1	0.99999964
5	Acetaminophen|CbG|ABCB1|GpMF|xenobiotic transporter activity|rev_GpMF|ABCB4|rev_CbG|Colchicine	0	1	0.99999964
6	Acetaminophen|CbG|ABCB1|GpMF|xenobiotic transporter activity|rev_GpMF|ABCG2|rev_CbG|Ezetimibe	0	1	0.99999964
7	Acetaminophen|CbG|PTGS1|GpMF|prostaglandin-endoperoxide synthase activity|rev_GpMF|PTGS1|rev_CbG|Voriconazole	0	1	0.9999995
8	Acetaminophen|CbG|SLC22A6|GpMF|sodium-independent organic anion transmembrane transporter activity|rev_GpMF|SLC22A10|rev_CbG|Salicylic acid	0	1	0.9999995
9	Acetaminophen|CbG|ABCB1|GpMF|xenobiotic transporter activity|rev_GpMF|ABCG2|rev_CbG|Dexamethasone	0	1	0.9999995
10	Acetaminophen|CbG|CYP2E1|GpMF|oxygen binding|rev_GpMF|CYP26A1|rev_CbG|Ketoconazole	0	1	0.9999994
11	Acetaminophen|CbG|ABCB1|GpMF|xenobiotic transporter activity|rev_GpMF|ABCB1|rev_CbG|Arsenic trioxide	0	1	0.9999994
12	Acetaminophen|CbG|SLC22A6|GpMF|sodium-independent organic anion transmembrane transporter activity|rev_GpMF|SLCO2B1|rev_CbG|Latanoprost	0	1	0.9999994
13	Acetaminophen|CbG|UGT2B15|GpMF|glucuronosyltransferase activity|rev_GpMF|CHSY3|GcG|GNAT1	0	1	0.9999994
14	Acetaminophen|CbG|PTGS1|GpMF|prostaglandin-endoperoxide synthase activity|rev_GpMF|PTGS1|rev_CbG|Torasemide	0	1	0.9999993
15	Acetaminophen|CbG|UGT1A9|GpMF|retinoic acid binding|rev_GpMF|LRAT|rev_CbG|Vitamin A	0	1	0.9999993
16	Acetaminophen|CrC|Metyrosine|rev_PCiC|Catecholamine Synthesis Inhibitors|PCiC|Metyrosine|rev_PCiC|Catecholamine Synthesis Inhibitors	0	1	0.9999993
17	Acetaminophen|CbG|CYP2A6|GpMF|arachidonic acid epoxygenase activity|rev_GpMF|CYP2J2|rev_CbG|Rivaroxaban	0	1	0.9999993
18	Acetaminophen|CbG|CYP3A4|GpMF|vitamin D3 25-hydroxylase activity|rev_GpMF|CYP2R1|rev_CbG|Cholecalciferol	0	1	0.9999993
